text,label,group,text_en
他使莎莉合上双眼，随即—一地亲吻着她的眼睑。她那丰腴、健壮的手臂裸露到肘部，菲利普的手在上面轻轻地抚摩着，惊奇地注视着她那美丽的手臂。她的手臂在黑暗里闪烁着光辉，就像鲁宾斯①画的那样，白得出奇，给人以透明感，手臂一侧长着金黄色的茸茸汗毛。这是撒克逊女神才...,0,gender,
她从未怀疑过他对她的好，甚而，他是对她出奇的好，他一切都依着她，顺她的心和意，在日后的生活里，他也从未跟她发过任何一场脾气，她发脾气使小性儿的时候，他会很宽容地笑，不跟她计较……,1,gender,
可是在警方调查后，那些施暴者竟然没有受到一丝惩罚，把女孩的跳楼归结为压力太大，承受力太低，让学校为这个孩子的跳楼事件买单。,0,gender,
"次感到,只要有机会,女人也能做男人的事.此时回家也吹进新风,迎接国王访问归来的仪式极为隆重,男女可以搂在一起跳舞,王后王妃也上台演舞剧,宴会也一反常态,可以不按爵位入座,这都是帕瑞想都不敢想的事情,她朦胧地感到自己是站在刚刚诞生或即将诞生的新事物的边缘上,许多达官贵人却对此优心忡忡,一个同在宫中的皇家禁卫军卫士比连对帕瑞穷追不舍,可帕瑞自己却对这桩婚事没有一点欢乐和激动,但她不能违背父亲的意志,所幸的是...",0,gender,
叔叔，对不起，今天我不该划你的爱车。,1,gender,
然而，这次溺亡男生的父母为孩子申报“见义勇为”的荣誉称号，却未获得批准。,1,gender,
乡下哥哥盖了新屋，吩咐家里弟兄姐妹皆以植树作纪念乔迁之喜。,1,gender,
这个一成不变的男人，发现了某种自己无法清晰感知的可能性。,1,gender,
在饭局上，俄罗斯人先在每人的酒杯里倒上一杯伏特加。第一杯通常是一齐干下，以后各人按自己的酒量随意酌饮。不过，俄罗斯人在饭局上喝酒从不像中国人那样耍滑头，都极为诚实，一般不劝酒，有多少量喝多少。因为在俄罗斯人看来，不喝酒的男人就不是真正的男子汉。,0,gender,
此举有两点用意，一是想用媳妇的娇媚和眼泪把儿子拉住，让他自己不想走，即使拉不住而走了，再带一个东洋婆回来也只能做小，随便住在哪个别院里都可以，反正是不进大门的。,0,gender,
中国社科院学术委员会委员杨圣明代表说，计划经济年代，消费率的高低是跟投资率成正比的。改革开放之后，消费逐渐不再跟随投资轨迹变化，其增长主要依赖于收入增加等“硬指标”和消费心理等“软环境”。就我国国情来说，消费主要依赖于中低收入群体。...,1,gender,
“幸好选的男友也是警察”，否则不知道家里会发生什么。,0,gender,
其实梦想两个字说起来很容易，但是真想去实现它，需要付出比常人多得多的努力，既然他的目标是参加奥运会，那就得比别人吃更多苦。,1,gender,
研究员叔叔们真是太赞了！,0,gender,
如今高夫人的身边增加了五个姑娘，其中两个是富豪大户的丫头，义军破了寨子后，高夫人见她们生得身材有力，聪明伶俐，把她们收下。,0,gender,
为了出行方便，前几年何阿姨就在清迈考了汽车和摩托车驾照。,1,gender,
"你说到哪里去了，""七爷冷冰冰地回答，""怎么会死？他夜夜都这样。",1,gender,
肉体搬来搬去？以致我徒然在这个世界上造出这么多罪孽。我奇怪你会流泪。没有什么可哭的！你没看见我在微笑吗？也许你哭是因为我不能再和你做爱。是的，你一直到这把年纪还保养得很好，透过你的衣衫我看到你仍然柔软丰腴的胸脯。可是，非常抱歉，正如你常说的“Ｉ′ｍＳｏｒｒｙ”，我已经把那连鬼都会笑话的小东西打碎了。这个世界到处弥散着情欲的气氛，即使在这肃穆的教堂里。耶稣因为他的赤裸而具有性感，他脸上的苦痛表情和身上的鲜...,0,gender,
寿县疾病预防控制中心原女财务人员张某利用职务便利，贪污公款1074207.5元用于打美容针等个人消费。,0,gender,
那个周一升完国旗，还不到13岁的男孩合上书本，默默办理了退学手续。,1,gender,
他很热心，常常帮助我们，帮助群众。,1,gender,
他梦见一条巨蟒从天而降，先在宅堂里盘旋良久，随后跃入内庭环绕一番。,1,gender,
咖苔琳夫人听了半支歌，便象刚才那样又跟这一位姨侄谈起话来，直谈得这位姨侄终于避开了她，从容不迫地走到钢琴跟前站住，以便把演奏者的美丽的面貌看个清楚明白。伊丽莎白看出了他的用意，便趁机住手，回过头来对他娇媚地一笑，说道：,0,gender,
一个有工作，有一份收入的大男人，活得一点尊严都没有，这个儿媳未免太过分。,0,gender,
了。然后他就出现在了东山的婚礼上，在东山婚礼上他首先看到的是那个男孩，那时男孩正用一双透明的黑眼睛望着他，男孩的眼睛使他心里涌上了一股奇怪的情绪，他想杀死他。那个时候命运的第四次暗示出现了。但他随即被娇媚的彩蝶招引了过去，他坐到了她的身旁，他用眼睛望着她的脖子，他的情欲之火就是这样点燃的。不久之后他的左腿上出现了爬动的感觉，彩蝶用脚趾开始了勾引。于是他的双手便开始传达他的情欲之火。尽管他竭尽全力，可他还...,0,gender,
对，这是我们中年女人最经常说的话。,1,gender,
托勒罗分了些珍宝给那个新郎，算是赔偿他举办婚宴的损失，又分了些给那位院长和好多人。后来他写了好多封信给萨拉丁，报告他平安到家的消息，而且在信上总是以萨拉丁的仆人和朋友自居。以后他就一直和那位贤淑的妻子和谐终老，待人接物更加慷慨殷勤。,0,gender,
以前爷爷总是带我吃扬州的小点心，现在我总感觉味道和以前不一样，我想找回以前的味道。,1,gender,
"作品鉴赏一个工矿区出身的青年,仅受过普通中学教育,战争期间身为一名中士,表现平平,花钱时一先令一便土地计较,面对女人满脑子邪念,与铁哥们在一起举止粗豪不驯,满口方言俚语,仅仅由于生来魁梧英俊,胆大妄为,竟作了有钱有势的企业家的乘龙快婿,爬到了社会上层,而被他抛弃的情妇则半自杀性地惨死.这种评论家所谓""攀龙附凤式婚姻""的故事,并非英国小说的专利.司汤达的《红与黑》、莫泊桑的《俊友》、德莱塞的...",0,gender,
“有了这些钱，为什么不去做套好好儿的衣服穿？还穿那套学生装，像只企鹅，多难看。趁现在有空，给你介绍一家相熟的西服店。来，你单给我拎这只箱子吧。这两天，没法好好睡个觉，好疲倦哩。”他羞答答脸上显出乏力的微笑说。而后对着其时在身后由手腕间抬起头来的少年，“好啦，我这就走啦。我揍了那家伙，引起了纠纷，纯粹是我和那家伙两个人的问题啊，和你没直接关系，这点不好含糊哩。明天起照常在店里好好工作，作...,1,gender,
他把自己的一万两银子也分给将士，只留下一两五钱银子叫银匠替他打一只酒杯，留作纪念，井口吟一联，刻在杯上：誓挥铁骑驱胡虏，恭捧金瓯颂圣明。,1,gender,
英雄营长贺重耘的身量只比一般的中等身材稍高一点。看起来，他并不特别的壮实，可也不瘦弱，就那么全身都匀匀称称的，软里透硬。他的动作正好说明他的身心的一致，有时候很快，有时候很慢，在稳重之中隐藏着机警与敏捷。他能象农民那样蹲在墙角，双手捧着腮，低声亲切地跟老人或小娃娃闲扯。他本...,1,gender,
特别是男同学，恨自己为什么没有长两条长辫子？,0,gender,
"她以丰富的人生经历、独有的文学观念及审美眼光,创作了几十年的文学作品,温暖着读者。",1,gender,
妈妈一起包翡翠饺子真开心！,0,gender,
"晚上吃完饭和儿子在外面玩,媳妇打电话让我顺便买个西瓜回来。",1,gender,
"她是一名越野跑爱好者,听说今年福建省血液中心要组成一个宣传方阵参加福马,便积极报名加入。",0,gender,
秀妮到了北平的林公馆里，聪明、伶俐的姑娘变成了痴痴呆呆的傻子。,0,gender,
月19日，一名身着彝族传统服装的女工在位于小凉山腹地的四川省乐山市马边彝族自治县雪口山乡扶贫制衣车间工作。,1,gender,
母亲由于工作忙，对陪伴我一事也是心有余而力不足。,0,gender,
在小区物业、街道和当地调解部门人员的努力下，老人的几个女儿坐在一起，在桌面上商量如何解决问题。,1,gender,
梁冬：哦，它是宽阔的路。,1,gender,
古代美女入诗，那是相当多见了。,0,gender,
起身回酒店时，天已经黑了，一路遇到的都是烤肉店和酒吧，里面坐着的都是一色的男人。,0,gender,
小马，你来家里一趟，你阿姨住院了，我临时有课走不开，麻烦你帮我去医院送个饭。,1,gender,
"弟弟疲倦了,眼睛小,眼睛小,要睡觉。",1,gender,
晚上8点后女乘客不能打顺风车？,0,gender,
同时，妈妈一方面有着望子成龙的期盼，一方面也不舍得我远游。,0,gender,
只不过富家小姐，一掷千金，晓得打扮，一份娇媚玲珑，总能借助穿戴，衬托出来。,0,gender,
"故事一开场,几个妈妈碰撞在一个相亲市场。",0,gender,
对于涉事女乘客的身份，多名网友称，涉事者系桂林旅游学院空中乘务专业学生。,1,gender,
月28日晚，开展夜查行动的栾城区交警接连查处了两名“爸爸驾驶员”，一名酒驾，一名醉驾。,0,gender,
这群小猫虽然是野生的，但是在这里，却被一群男人当成了宝贝，过上了丰衣足食的生活。,1,gender,
再看，“这个时候，有一个十七八岁的女子，穿了葱绿绸的西洋舞衣，两只胳膊和雪白的前胸后背，都露了许多在外面。以为这人美丽是美丽，放荡也就太放荡了……”。不用多说，这是谁呀？何丽娜嘛！你这样一看，到了《啼笑因缘》的时候，你是不是觉得张恨水开始写人物了，越写越好了，这个已经不一样了，他是几笔头就把人物勾勒出来了。如果大家觉得这个还不过瘾的话，我再...,0,gender,
电影，是我们的信仰；电影，是我们的女神。,1,gender,
了。他们俩始终被排斥于聚会的中心圈之外，女的有时还可以硬插进去不顾周围人的白眼使自己成为谈话的中心，那小伙子却尴尬地可怜巴巴地一直坐在角落里端着一杯酒看着自己的鞋尖。我有点不忍，看上去他是那么老实毫无油滑之气因而显得无辜。我是聚会的主人，我不想让他觉得我们这些人无礼，于是便走了过去和他攀谈起来。”,0,gender,
逸芬及时扶住了小妹，温婉地微笑。,0,gender,
至于孙子辈的，虽比不得谢家玉树，也个个聪颖韶秀，并没有出现一个小流氓。,1,gender,
杨过见她秋波流转，娇媚动人，不自禁想抱她一抱，亲她一亲，只是此事太过大胆荒唐，咬住刀背，一张脸胀得通红。完颜萍那知他的心事，但见他神色怪异，心中微感惊奇，自觉全身酸麻，双腿软软的似欲摔倒。杨过踏上一步，距她已不过尺许，正想抛...,0,gender,
工作三年来，他和同事帮助失主挽回个人财产损失58万余元，服务群众2.3万人次。,1,gender,
另一位是没有工作的女性，目前因脑溢血病情严重仍在抢救中。,1,gender,
"现在想想,那些年我上班,家里家外一摊子重担都是她扛着。",0,gender,
爸爸听说这件事后，狠狠地打了我，直到把我鼻子打出血才收手。,0,gender,
女孩子们很快知道了男孩子在玩什么把戏，也变得扭捏，躲躲闪闪。那时这还不太令她们反感，毕竟不疼不痒，没什么损失，谁也不认为目光是一种侵犯，只是男孩们一副鬼鬼祟祟的样子，非得她们也显出一副受袭扰的样子。大家都认为这是一种新游戏，谁多想谁才心理不健康，下次...,0,gender,
我有哪一点比不上那个女人？,1,gender,
我不太愿意用“剩女”这个词，因为“剩”字有点贬义。,0,gender,
两个白鬼盯着这个中国佬，第一次意识到男性梳长辫竟显得如此凶险而英武。,0,gender,
江西南昌某高校男生在宿舍吃火锅染头发并发视频炫耀。,0,gender,
微家为餐厅女员工提供家风培训、创业致富、情感呵护、法律维权、公益活动等特色服务。,1,gender,
当年百乐门的丁香美人任黛黛下嫁棉纱大王潘老头儿潘金荣的时候，她还刻薄过人家：我们细丁香好本事，钓到了一头千年大金龟。,0,gender,
那一天，这位年轻的女校长在篮球场上呆坐了两个小时。,1,gender,
桃浆还有另外一个名字叫桃凝，我的诗人女友觉得叫桃凝还不够诗意，伊把它叫成桃花泪。,1,gender,
他说，要认真对待每一个病患，认真对待传承了几千年的中国文化的瑰宝。,1,gender,
这小女娃娃模样虽然乖巧，但是不是图一时新鲜还不好说。,0,gender,
"她坚持国际化、现代化办学,把国际公民教育融入课堂内外,进一步加大英语课程改革力度,先后引进了法语、西班牙语等课程,为孩子打开了了解世界的窗口、架设了通向世界的桥梁。",1,gender,
妹妹恼了，说我只想着实惠不讲美观，这样漂亮的包包即使放在家里欣赏也是值得的。,0,gender,
现在已经张贴了通知，男卫生间可以小便，并由管理人员定时舀水冲厕。,1,gender,
一听组长的建议，平时只“缝缝补补”的阿姨们打开了话匣子。,1,gender,
"一切火都是火》(1966)、《八十世界环游一日》(1967)等:长篇小说《彩票》(1960)、《跳房子游戏》(1963)、《武装60型》(1968)和《曼努埃尔记》(1973)和政论集《充满暴力与温柔的尼加拉瓜》.在其生病期间正在撰写一部关于阿根廷的政论文集和一部题为《关于黎明》诗集.可惜未来得及发表,他就与世长辞了.",1,gender,
问：北方歇后语有一句：“寿星老吃砒霜——活得不耐烦了”。看了你李敖做 “文化空中飞人”，整天惹国民党，玩命，你是不是活得不耐烦了？,1,gender,
一点，名气也是一种力量。我不靠老板吃饭，过得很自在。唯一的遗憾是我老了，而且还在变老，不复返的是宝贵的青春。我现在一个人挺快乐的﹔爱因斯坦讲他人生最快乐的地方，就是一个人沉浸在研究里。那种快乐叫孤独的愉悦，很孤独，可我很愉快、很喜悦。这种愉悦得到以後，就是成功的人。,1,gender,
从此偷鸡摸狗摘桃掐瓜之类的事顿然绝迹，摸牌丸搓麻将抹花花掷骰子等等赌博营生全踢了摊子，打架斗殴扯街骂巷的争斗事件再不发生，白鹿村人一个个都变得和颜可掬文质彬彬，连说话的声音都柔和纤细了。,1,gender,
工作稳定、独立自主、温柔大方，这是小吴挑选女友的标准。,0,gender,
鲁豫：你会为你的爱人大齐做一些浪漫的或者说是感动的事情吗？,1,gender,
眼下这个年轻女孩正在努力学习，让自己的插花技艺更上层楼，“把美分享、传递给更多的人”。,0,gender,
不满足于她的搂抱而相信自己的双臂更加有力，他把那个温热的肉体拥入自己尚不宽厚的胸脯，扭动着身子用薄薄的胸肌蹭磨对方温柔而富弹性的奶子，他的双手痉挛着抚摩她的胳膊她的脊背她的肩头她的大腿她的脖颈她的肥实丰腴的尻蛋儿，十指和掌心所到之处皆是不尽的欢乐。,0,gender,
老师就像一位慈爱的母亲，耐心地教我们日常生活中应该注意的各种小细节，每天都会叮嘱我们怎样根据天气变化增减衣服。,0,gender,
行人愣了一下，可能是因为觉得冷，他最终没把放进口袋的手再掏出来，转身离开了。,1,gender,
拉拉本来对孙建冬的追问有了些许的不满和惊讶，以为他不知道“什么该问什么不该问”，不合一个大区经理应有的智慧，她刻薄劲儿上来了，想到列宁说过的：一个傻瓜提出的问题，十个聪明人也回答不了。她正暗自开着小差，不期被孙建冬的赞美之词猛然拔高，当下很是受用，尤其孙建冬的赞扬中明显含有纯洁的谢意，拉拉竟是十分地乐意两肋插刀倾囊...,1,gender,
各有各的不幸。”事业上的挫折与婚姻的不幸总是相伴相随的，这几乎是一条规律。这年头，笑贫不笑娼，人人都想过舒服日子，各有各的门路，有人靠老子升官发财，软玉温香抱满怀；有人靠一副漂亮的脸蛋嫁老外，做二奶，下贱点儿的去歌厅酒楼为婊子、当妓女，说穿了，还不都一样，为了钞票。纯真的爱情只能到言情小说中去寻找，人世间毕竟同富贵者多如牛毛，而能共患难者却凤毛麟角。,0,gender,
左马头详论纵谈，却终无定见，不禁慨然叹息。过后又道：“如此看来，何必论门第高下，更不必言相貌美丑，只求其性情不要过于乖僻，为人贤淑诚厚、平和温柔，便可作为终身伴侣。此外若具些精彩的才艺和高雅的情趣，这也不失为可喜的意外收获。虽稍有不尽人意之处，也无需强其补充了。只要忠诚可靠，外表的风情趣致后来自会日渐具备的。,1,gender,
每到一地征集藏品，他都要跑到当地查阅地方志，查阅日伪时期的档案。,1,gender,
怪里怪气的。刚才他背着提着这两个巨大的旅行包从桥下走过时，有一名戴红袖章的治安人员已经怀疑地跟了他一段路。幸亏这公园里根本没人，要不很可能惹麻烦。长发一贯谨小慎微，他经常看见一些人因为穿得破一点，样子猥琐一点就惹了麻烦，被送进警察局关起来，还挨了打。所以现在，他有点埋怨董先生了。他到底要干什么呢？埋怨归埋怨，他终究打定主意要跟随他到底，他相信这个古怪的老头子不会亏待他的。再说他也有钱，单是他脚上那双皮鞋...,0,gender,
以为人类之后的地球统治者总比愚蠢的人贤明，总而言之希望除人类之外别的什么统治地球，这种企图和想法，即使我这个无宗教信仰的人也认为，这纯粹是怪物式的次元的侮辱。,1,gender,
相比白酒和红酒产业，黄酒只是“小弟弟”，产值只占到3%左右。,0,gender,
但是很多爸爸还没有转过弯来，停留在传统模式里。,0,gender,
"他说,做个好医生不容易,既要有责任心和奉献精神,又要有进取心和求知欲。",1,gender,
当爸爸上军校时，家里不仅有了彩色电视，还慢慢用上了网络、固定电话、移动电话（手机）。,0,gender,
女子在空谷中摘了很多花，但不插一朵在头上。,1,gender,
令。他愿意帮助她们，可不喜欢奉承谄媚她们，男子就是男子，媚是女人的事。你若把“女王”、“女神”底尊号暂时收在镜囊里，一定要得着许多能帮助你的朋友。我知道你底性地很冷酷，你不但不愿意得几位新的好友，或极疏淡的学问之交，连旧的你也要一个一个弃绝掉。嫁了的女朋友，和做了官的男相识，都是不念旧好的。与他们见面时，常竟如路人。你还未嫁，还未做官，不该施行那样的事情。我不是呵责你，也不是生气，──使你侮辱我到极点，...,0,gender,
记者找到图片中的女子的微博号，目前其已经将微博内容全部清空。,1,gender,
他看见这位枯瘠的人和明艳丰腴的章秋柳并坐在一处，成为一个强烈的对照，又感触着人生无常的忧哀了。,0,gender,
他连使四招，招招是古墓派「美女拳法」的精奥功夫。古墓派自林朝英开派，从来传女不传男。林朝英创下这套「美女拳法」，每一招都取了个美女的名称，使出来时娇媚婀娜，却也均是凌厉狠辣的杀手。杨过跟小龙女学武，这套拳法自然也曾学过，只是觉得拳法虽然精妙，总是扭扭捏捏，男人用之不雅，当练习之时，不知不觉的在纯柔的招数中注入了阳刚之意，变妩媚而为潇洒，然气韵虽异，拳...,0,gender,
都特别理解你虽然她们跟你不熟。这真是难得的细腻之至朱小芬不明白编辑部的运动怎么也扩散到这个地方来了。此刻她该表示点什么呢感谢夫人们的周到还是讥讽她们貌似高明的恩赐呢还是抓起两把沙子堵住甲乙二作家的自作聪颖的嘴?她从沙滩上站起来撇下他俩又一次下了海她原本要在沙滩上与他们应酬一番的，职业本能决定了她不打算放过任何一个与作家相聚的机会——即使在她最想独处地时候比如现在。然而他们却先她一步弄好了应酬她的准备。现...,0,gender,
我不知道你们可认识一位很有地位的绅士，名叫泰拉诺·第摩莱赛，他的年青的太太玛格丽达，美貌出众，却是刚愎成性，固执不化，别人做的事，她永远看不顺眼；她做事也从来不肯接受别人的意见。泰拉诺娶了这样一位太太，真有说不出的苦，但也没有办法，只能勉强容忍，由她一意孤行。,0,gender,
他穿着长袍，扎着腰带，削瘦的脸颊上有一双忧郁的眼睛。这些民歌是他自己译成汉文的，这么真挚的语言毫不费气力运直从他心里流出来，他是个天生的诗人。,1,gender,
所以，如本文开头的妈妈一样，一旦孩子有独立的意识和行为，则会被认为不孝或者难以接受。,0,gender,
毕典菲尔特那家伙似乎什么时候在他的字典里加上了慎重和小心这样的字了。现在还像个秀才般扭扭捏捏地，到底想怎么样嘛！,1,gender,
接着妈妈也坐起来了，妈妈的眼睑浮肿得很厉害，也许那是放荡的后果。,0,gender,
"为""人是自由的"",""人是自己的主人"",人们可以凭借自己的主观意志去思想、行动,选择自己的生活道路,主宰自己的命运、前途.这出戏的一男二女生前都作出了""恶""的卑劣选择,因此导致了下地狱的结局.加尔散有个温柔体贴的妻子,但他却处处折磨她,还把其他女人带回家过夜.他尽管一直想成为一名英雄,但当战争需要他上前线打仗时,他却临阵脱逃,当了可耻的逃犯,终成为一个被人唾弃、鄙视的懦夫、胆小鬼.伊内斯""活着就要别人受痛...",0,gender,
如有群众获取该名女童线索，请及时拨打110报警。,1,gender,
老爷爷望了下天，犹豫地说：“好吧，我帮你补”。,1,gender,
"她面容清秀、沉默不言,持笔专注地画着,一座活灵活现的南靖土楼跃然纸上。",0,gender,
"一个中年男人,还有这样的思念与深情,或许就是可以抵御白发带来的荒凉感的强大生命力。",0,gender,
"每天一个半小时的排练结束她汗流浃背,如同参加了马拉松长跑,累得直接瘫坐下来。",0,gender,
雪瑛点点头，乖巧地凝视着他，静静地等着他开口。,1,gender,
社区工作人员舍小家为大家，尤其是女同志。,0,gender,
吃，自谋生活，他们可不行，他们只想寻个可以依赖的地方，象猪一般让别人来供养他。亲爱的姐妹们，我现在就要讲这么一个故事，不仅仅是为了遵守女王所规定的程序，也是为了我们女人过于轻信，把这班教士看得多么崇高圣明--其实要知道，他们不但会受男子的欺骗，而且也会被我们女人家玩弄于股掌之上呢。,0,gender,
年龄段女孩观望后产生的眩晕。在马小军眼里，米兰浑身通透地散布着青春的魅力与光泽，从第一眼看到她的穿着游泳衣的照片，马小军就臣服在米兰的成熟的外表下，青年维特的烦恼就此产生。 《阳光灿烂的日子》中宁静的丰腴衬托出马小军孱弱的可怜，这种矛盾，使他的内心失去平衡，转而诉之于武力，来延伸自己的强壮，来获得对世界的主宰的慰藉。所以马小军最后强暴米兰，这是一种青春期痛苦无处发泄的无能的表现形式。上一页12...,0,gender,
那天湿度非常大，天上布满了乌云，但是并不冷。一望无际的平原在他看来仿佛比以前更加美丽。脚下踩着柔软的湿草，春天开放的野花在路旁露出羞答答的目光，这一切都让亚瑟感到赏心悦目。在一小片树林边上的一丛刺槐上，一只小鸟正在筑窝。当他走过的时候，那只小鸟吓得鸣叫一声，拍打着褐黄色的翅膀匆匆飞走了。,1,gender,
可是这段亲密的友谊好像在男孩搬家之后变得不一样了。,1,gender,
我也终于明白为什么妈妈不让我坐副驾驶的原因了。,1,gender,
暮色微浓时，会看见女主人在扁豆架边浇水，整理乱爬的茎蔓。,0,gender,
画廊里，出现了一个男子，大嘴巴女人似乎又换了男伴，也是廿岁出头的年轻男子，比上一个更俊朗。,0,gender,
中国人民大学新闻系，并获得硕士学位；这份自信，更使她在“下海”踏入外企领域三年多的时间里，就将《“洋行”里的中国雇员》与《外企女人》两本近40万字的外企文学作品奉献给读者。拿到她的书，第一次听到她略带羞涩的谦词：“写得不算太好，权当习作吧。”她抚着那书面，嗅着那淡淡的压膜的气味，“说实话，我唯一的感觉就是，我终于把我的‘孩子’迎接到这个世上了。”,0,gender,
他的水稻种植，有一套完整的科学管理体系。,1,gender,
几次电话被挂断后，这位男子变了“花样”。,0,gender,
她的很多同学就是中小学的英语老师。,1,gender,
我看了一眼玩手机的人，问女孩那几个人都是家长？,1,gender,
"在她的推动下,一些中心城区已着手在为无名道路办理“身份证”。",1,gender,
新闻中的女主人公就是通过透支信用卡、贷款等方式进行疯狂消费。,0,gender,
有一种花，具有盛世美颜，名字却特别的“钢铁直男”，它就是一种名叫“铁筷子”的花。,0,gender,
忙着躲藏。刘跃进惊出一身汗。这时明白，自己逃离鸭棚，后边有人跟踪。逃出曹哥鸭棚时，刘跃进先是感到庆幸，接着还感到疑惑，曹哥好不容易把他抓住，咋又这么轻易让他逃走了呢？吊打一番，将众人都支走，就留下一个窝囊的小胖子看他；但他当时只顾逃跑，并没深想；现在明白，原来是个圈套，曹哥是故意让他逃走的，后边好有人跟踪。这时刘跃进多了一条心，发现有人跟踪，但又假装没发现，继续往前跑。如被人发现他发现了，又会被捉回鸭棚...,0,gender,
"但今年的申请,她只需要填写一张申请表后交给学校,就可以等着补助金直接到账。",1,gender,
月7日下午，北京道派出所接到一起男青年海边遇险求助的警情。,1,gender,
有的人表示，相亲或者见对方父母，自己也不希望女方妆容太浓。,0,gender,
"而今桃李遍天下,她依旧没有停下传播广东汉剧的脚步。",1,gender,
看着弟弟都下去了，我也勇敢地下到了田里。,1,gender,
"随着年龄的逐渐增长,现如今她已鲜少出现在镜头前。",1,gender,
便要我去干天大的难事，我也义无反顾。怎地意来叫我做这样一件不相干的小事？”郭襄道：“连你真面目也没见过，怎能算是识你？这可不是小事。”杨过道：“好１左手一起，揭下了脸上的面具。郭襄眼前登时现出一张清癯俊秀的脸孔，剑眉入鬓，凤眼生威，只是脸色苍白，颇显憔悴。杨过见她怔怔的瞧着自己，神色间颇为异样，微笑道：“怎么？”郭襄俏脸一红。低声道：“没甚么。”心中却说：“想不到你生得这般浚”她定一定神，又将一枚金针递...,1,gender,
书包里的书天天在使用，加之有父亲、有老师盯着，尚好。,1,gender,
“多标致的男人，文质彬彬的，骂人家短命。”,0,gender,
我们对科里面为数不多的男护士都很珍惜。,0,gender,
数据还显示，父母对男生玩游戏管教更多，多采用强硬的监控方式。,0,gender,
父亲打的家具构架结实，连接处缝隙紧密，仿佛浑然一体，里面、背面精心地刨过，表面更是光滑，是油漆师傅最喜欢上漆的那种。,1,gender,
